registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
6,Estupro de Vulnerável Consumado,UBERLANDIA,317020,11,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,11,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,11,2020,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,11,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,11,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,11,2020,9,NÃO
5,Homicídio Tentado,UBERLANDIA,317020,11,2020,9,NÃO
120,Roubo Consumado,UBERLANDIA,317020,11,2020,9,NÃO
6,Roubo Tentado,UBERLANDIA,317020,11,2020,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,11,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,11,2020,9,NÃO
5,Estupro Consumado,UBERLANDIA,317020,12,2020,9,NÃO
10,Estupro de Vulnerável Consumado,UBERLANDIA,317020,12,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,12,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,12,2020,9,NÃO
3,Extorsão Consumado,UBERLANDIA,317020,12,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,12,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,12,2020,9,NÃO
4,Homicídio Tentado,UBERLANDIA,317020,12,2020,9,NÃO
114,Roubo Consumado,UBERLANDIA,317020,12,2020,9,NÃO
9,Roubo Tentado,UBERLANDIA,317020,12,2020,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,12,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,12,2020,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,1,2020,9,NÃO
5,Homicídio Consumado (Registros),UBERLANDIA,317020,2,2020,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,3,2020,9,NÃO
2,Homicídio Consumado (Registros),UBERLANDIA,317020,4,2020,9,NÃO
0,Homicídio Consumado (Registros),UBERLANDIA,317020,5,2020,9,NÃO
2,Homicídio Consumado (Registros),UBERLANDIA,317020,6,2020,9,NÃO
1,Homicídio Consumado (Registros),UBERLANDIA,317020,7,2020,9,NÃO
2,Homicídio Consumado (Registros),UBERLANDIA,317020,8,2020,9,NÃO
2,Homicídio Consumado (Registros),UBERLANDIA,317020,9,2020,9,NÃO
